title,type,description,release_year,age_certification,runtime,imdb_score,imdb_votes
Good Morning Call,SHOW,"A high school girl finally gets her own apartment, but she has to share it with the most popular boy in school. No one can know they're living together.",2016,TV-14,48,7.7,3088
Inside the World's Toughest Prisons,SHOW,"Crime journalist Paul Connolly goes behind the bars of some of the worldâ€™s most notorious and toughest prisons. Immersing himself in maximum security facilities around the world to live as a prisoner, he encounters the inmates locked up for their crimes and meets the men and women on the right side of law tasked with keeping the criminals behind bars.",2016,TV-MA,48,7.1,2747
Septembers of Shiraz,MOVIE,"In this adaptation of the critically acclaimed debut novel by Iranian American author Dalia Sofer, a secular Jewish family is caught up in the maelstrom of the 1979 Iranian Revolution.",2015,PG-13,110,7.9,38
Beat Bugs,SHOW,"Jay, Kumi, Crick, Buzz, and Walter are best friends who band together to explore and learn in an overgrown suburban backyard, which to them is their entire universe. Each episode of this animated series features songs by The Beatles performed by artists including Daniel Johns, Robbie Williams and Pink to tell uplifting and life-affirming stories filled with hope and melody.",2016,TV-Y,15,7.6,522
Brothers,MOVIE,"David and Monty, estranged half-brothers, train in mixed martial arts to earn a livelihood. However, things change when the two are forced to compete against each other in the final tournament.",2015,PG-13,156,6.4,12886
Another Miss Oh,SHOW,Two women working in the same industry with the exact same name keep getting their lives entangled both professionally and personally.,2016,TV-MA,69,7.9,1769
T@gged,SHOW,t@gged is a modern day thriller that explores the terrifying risks of social media in a world of anonymity.,2016,TV-14,22,7.3,2012
The Deep,SHOW,"The adventures of the Nekton family, a family of daring underwater explorers who live aboard a state-of-the-art submarine, The Aronnax, and explore uncharted areas of the earth's oceans to unravel the mysteries of the deep.",2015,TV-Y7,22,8.1,645
La NiÃ±a,SHOW,"A young woman who was part of the guerrilla force now seeks a better life in the city. She wants to study medicine, to heal instead of hurt, but she'll have a challenge since being part of outside-the-law groups always leaves consequences.",2016,TV-MA,45,8.3,642
Ask the Storybots,SHOW,"Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions, like how night happens or why we need to brush our teeth.",2016,TV-Y,26,8.4,870
La esclava blanca,SHOW,"In Colombia in 1821, a Spanish plantation gets burned down, and only the planters' baby is spared. She gets sent to Spain, but concocts a plan to return home and become an abolitionist.",2016,TV-MA,41,8.1,575
World of Winx,SHOW,The Winx travel all over the world searching for talent for WOW. and preventing the mysterious talent thief from kidnapping them.,2016,TV-Y7,23,6.6,715
Heneral Luna,MOVIE,A Filipino general who believes he can turn the tide of battle in the Philippine-American war. But little does he know that he faces a greatest threat to the country's revolution against the invading Americans.,2015,R,118,7.4,2089
Mucize,MOVIE,1960s Turkey countryside. A newly assigned teacher finds out that the solitary village is missing a school. He gets fond of the village people and especially a disabled man. The teacher helps the village to build a new school and educate the children and the disabled man.,2015,PG-13,136,7.7,12395
Richie Rich,SHOW,"Richie Rich is a boy who turned vegetables into a clean energy source. As a result, Rich now has over a trillion dollars. Rich lives with his family in a mansion filled with toys, contraptions, and his best friends Darcy and Murray are always by his side, along with Irona, Richie's robot maid, his dad Cliff, who loves naps and is a bit dense, and his jealous sister Harper. Also, Darcy loves spending money and Murray doesn't want anything out of budget.",2015,TV-PG,22,3.1,1041
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,MOVIE,"Hawaiian-shirt enthusiast Gabriel ""Fluffy"" Iglesias finds the laughs in racist gift baskets, Prius-driving cops and all-female taco trucks.",2016,PG-13,87,7.4,2519
Jim Jefferies: Freedumb,MOVIE,"Returning for a second Netflix comedy special, Jim Jefferies unleashes his famously ferocious black humor to a packed house in Nashville, Tennessee.",2016,R,86,7.7,5393
Force 2,MOVIE,"ACP Yashvardhan teams up RAW Agent KK to bring down the master mind terrorist, Shiv.",2016,PG,123,6.2,5501
Tamasha,MOVIE,"Ved and Tara meet accidentally meet in Corsica, France and decide to spend the next 7 days together with secretly revealing their true identity or without any promise to meet later, ever. Tara eventually falls in love with Ved and goes to find Ved after 4 years, and helps him to find his true story where he belongs.",2015,PG,139,7.4,26790
LEGO Friends: The Power of Friendship,SHOW,"Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends.",2016,TV-Y,23,6.5,49
Strange Weather,MOVIE,"Years after her son's suicide, a woman longs to confront both the past and a friend of his who took his business idea.",2016,R,95,6.0,1499
The Good Cop,SHOW,"Danny Confino is a full-time cop, during one of the police's worst times. A period in which its image is at a low ebb, they are ousted every week, harassed by commanders twice a week, budgets are cut and complaints against police are piled up in DIP offices. He returns to his parents' home in order to live there temporarily, but the temporary becomes permanent and Danny finds that life at home is superior to any crime scene.",2015,TV-MA,30,7.7,370
The Guardian Brothers,MOVIE,"There's a crisis in the Chinese Spirit World -- humans don't believe in gods anymore! A Door God, facing unemployment, ventures into the human world to prove his worth, leading to unexpected encounters and transformations for humans and spirits alike.",2016,PG,103,5.4,2100
One More Time,SHOW,This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate.,2016,TV-14,31,6.9,564
My Runway,SHOW,An egotistic top male model and a pretty model wannabe are forced to live each other's lives until they figure out a way to undo their body switch.,2016,TV-14,25,6.3,261
Dear My Friends,SHOW,Life is ever-delightful â€” and ever-challenging â€” for a group of friends in their twilight years as they rediscover themselves through love and family.,2016,TV-MA,70,8.199999999999998,355
Toon,SHOW,"Reclusive, socially awkward jingle composer Toon must navigate the nightmarish world of show biz after a viral video skyrockets him to fame.",2016,TV-MA,27,7.6,890
Udta Punjab,MOVIE,"The insurgence of substance abuse among the young in the Indian state of Punjab through the stories of a rock star, a migrant laborer, a doctor and a policeman.",2016,R,148,7.8,29819
The Paper,SHOW,The last independent newsroom in the country is taken over by a construction magnate for the reasons that have nothing to do with love or respect for journalism.,2016,TV-MA,48,7.4,64
Toro,MOVIE,"Toro (Spanish for ""Bull"") is a young con man and the right hand of Romano, a powerful mob boss in Torremolinos, MÃ¡laga (Andalusia, south to Spain). After Toro decides to leave Romano to get a life free of crime, his last sting fails, resulting one of his brothers dead and he sent to jail. Five years later, Romano realizes that LÃ³pez, Toro's older brother, is robbing him money from his tourism business and he orders to kidnap Diana, LÃ³pez's little daughter, until this one get back the money. Without options, LÃ³pez visits Toro, now a touristic driver with the third grade prison close to get the parole, who only wants to be free to marry his girlfriend Estrella. When Toro accepts to help LÃ³pez and both meet Romano looking for a solution, Toro ends attacking Romano's men and fleeing with Diana, trying to escape from Romano's revenge. But Romano starts a ruthless searching for they three, meanwhile Toro counts the hours to back the prison according to the third grade...",2016,R,105,5.9,3209
Jeff Dunham: Unhinged in Hollywood,MOVIE,Previously unseen stand-up comedy by Jeff Dunham. Sketches include popular characters. Brad Paisley performs too! Special appearances by comic Chris Parnell and former UFC champion Chuck Liddell.,2015,PG,60,6.7,713
Hunterrr,MOVIE,"An ordinary bachelor pursues girls like a hunter, but not with the intention of settling down in life.",2015,R,141,7.0,6199
H20: Mermaid Adventures,SHOW,"The lives of teenagers Emma, Cleo and Rikki are forever changed when a magical, forbidden island gives them the power to turn into mermaids.",2015,TV-Y,24,5.7,182
Keith Richards: Under the Influence,MOVIE,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.",2015,PG,82,7.1,3357
Stories by Rabindranath Tagore,SHOW,"The characters of Tagoreâ€™s stories spring into life through the cinematic imagination of acclaimed filmmaker, Anurag Basu in â€˜Stories By Rabindranath Tagoreâ€™. â€˜Stories By Rabindranath Tagoreâ€™ shares with us the intricately etched characters created by the master himself and brought onto the small screen by the visionary director of â€˜Barfiâ€™ and â€˜Life in a Metro.â€™",2015,TV-PG,43,8.8,1295
The Haunted House,SHOW,"With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries.",2016,TV-PG,25,8.4,71
Cheer Squad,SHOW,"The Great White Sharks are a sisterhood, there for each other through first loves, new jobs, bad breakups, and everything in between. But they are also elite athletes, idolized by thousands and members of the best all-star cheerleading team in the world. Cheer Squad follows the two-time World Cheerleading Champions on the long road to defending their title as they try to balance life off the mat with the all-consuming battle to stay on top.",2016,TV-PG,42,7.2,166
4K Fireplace,MOVIE,"Enjoy this crackling fireplace during a holiday party or a cozy night in. Shot in stunning 4K Ultra HD, this music-free fireplace video flickers, crackles and adds warmth to any room. Loop video playback for continuous enjoyment.",2015,G,181,7.7,48
72 Dangerous Places to Live,SHOW,"Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",2016,TV-PG,49,6.2,344
Smoke & Mirrors,MOVIE,"A tale of cheats and impostors, taking its inspiration from true facts and from one of the most intriguing characters of recent decades: the spy Francisco Paesa.",2016,R,123,6.9,7900
Nightmare Teacher,SHOW,"A homeroom teacher of Yosan Private High School has an accident, and thus a substitute comes to fill in. Han Bong-Gu  is a mysterious man, and after strange occurrences the class president Ye-Rim tries to get to the bottom of this mystery.",2016,TV-MA,16,7.1,423
Ð¢Ñ€Ð¸ ÐºÐ¾Ñ‚Ð°,SHOW,"Candy and her big brothers Cookie and Pudding are cute kittens who live with their parents, they play and have adventures learning to share and do chores as they go.",2015,TV-Y,5,6.8,95
Old Money,SHOW,"A family, blessed with richness and power, is desperately seeking for a liver for their father, who wants to hand down his wealth to the one who gets the organ.",2015,TV-MA,47,7.3,493
Rainbow Ruby,SHOW,"Rainbow Ruby is the story of a spunky, resourceful little girl who magically transports to Rainbow Village, a whimsical land inhabited by her toys, and transforms into different jobs to help save the day! This CGI-animated preschool series takes the childhood fantasy of dolls come to life, and mixes in an aspirational heroine who proves that you can be anything you want to be!",2016,TV-Y,11,6.5,77
The Lion Woman,MOVIE,"Eva Arctander is born with hypertrichosis, meaning that she is covered from head to toe with fine blonde hair. Her father is so ashamed of her that he hides her away from the world in their apartment. However, Evaâ€™s nanny fights for her right to be treated like everyone else.",2016,PG-13,126,6.6,1408
The Beginning of Life,MOVIE,"One of the greatest neuroscience breakthroughs is having discovered that babies are far more than a genetic load. The development of all human beings lies on the combination of genetics, the quality of the relationships and the environment they are set on.  The Beginning of Life invites everyone to reflect: are we taking good care of this unique moment, which defines both the present and future of humankind?",2016,G,98,7.6,934
Pyaar Ka Punchnama 2,MOVIE,"After falling in love, three roommates experience changes in their lives.",2015,PG-13,159,7.3,14968
Atelier,SHOW,"A young ""fabric geek"" lands a job at an upscale Japanese lingerie company â€” and quickly discovers she'll need help to survive.",2015,TV-14,69,6.3,7
The Truth Seekers,SHOW,"A veteran cop forms an agency dedicated to solving cold cases, including those related to the team members' own painful and mysterious pasts.",2016,TV-MA,44,7.1,16
Chelsea,SHOW,"It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style.",2016,TV-MA,57,6.1,2051
Home: Adventures with Tip & Oh,SHOW,"Picking up where the 2015 film left off, this coming-of-age buddy comedy follows fearless Tip and overenthusiastic Oh, as they navigate the crazily combined human and alien culture they live in, finding adventure everywhere they go.",2016,TV-Y7,21,5.9,603
White Rabbit Project,SHOW,"Kari Byron, Tory Belleci and Grant Imahara rank history's greatest inventions, heists and more.",2016,TV-PG,48,6.9,1665
Witch Hunt: A Century of Murder,SHOW,"Four hundred years ago, hundreds of innocent people were killed as an obsession to stamp out Satanism swept the British Isles. Dr Suzannah Lipscomb investigates the events of this dark period in our history.",2015,TV-14,46,7.2,319
The Princess Weiyoung,SHOW,A princess descended from a ruined noble family disguises herself as the woman who saved her life and embarks on a mission to avenge her loved ones.,2016,TV-14,45,7.9,767
Mind Game,SHOW,"With the help of a cop, a psychiatrist and a woman who can foretell the future, a brilliant paralegal works to solve an array of perplexing mysteries.",2015,TV-14,44,7.5,12
Chelsea Does,SHOW,"Comedienne and writer Chelsea Handler discusses the topics of marriage, racism, Silicon Valley, and drugs. Filmed in four parts.",2016,TV-MA,60,7.3,2471
Real Rob,SHOW,Centers around comedian Rob Schneider's real life while living in Hollywood.,2015,TV-14,31,6.4,2801
Gridlocked,MOVIE,Former SWAT leader David Hendrix and hard-partying movie star Brody Walker must cut their ride-along short when a police training facility is attacked by a team of mercenaries.,2016,R,114,5.8,4570
StoryBots Super Songs,SHOW,"Based on the award-winning educational apps, ""StoryBots Super Songs"" centers on the StoryBots, the curious little creatures who live in the world beneath our screens and help answer humans' biggest questions.",2016,TV-Y,21,8.8,167
Chocolate City: Vegas Strip,MOVIE,"The Chocolate City dancers come together to save their club from foreclosure. They decide to enter a national stripper competition, traveling all the way to Las Vegas to try their luck.",2016,PG-13,89,3.7,297
Ali Baba and the 7 Dwarfs,MOVIE,"Ali Senay and Ilber, the two partners of Senay CÃ¼ccaciye, sell garden dwarfs. When their company starts to dwindle, they decide to participate in a gardening fair in Sofia with the plan to meet new people from the sector in an attempt to drum up new business. Things don't go as planned as they find themselves crossing paths with the wrong people hell bent on causing world chaos.",2015,PG-13,114,5.8,19834
Talvar,MOVIE,A hardened cop deals with three conflicting perspectives involving a brutal double murder. The case is complicated as the prime suspects are the parents who supposedly killed their teenage daughter.,2015,PG,132,8.1,34659
"Liar, Liar, Vampire",MOVIE,"When ordinary boy Davis suddenly becomes famous at school as people start to believe he's actually a vampire, vampire expert Cameron helps him act like a real vampire.",2015,G,66,5.8,940
Dil Dhadakne Do,MOVIE,"On a cruise to celebrate their parents' 30th wedding anniversary, a brother and sister deal with the impact of family considerations on their romantic lives.",2015,PG-13,170,7.0,17149
Wazir,MOVIE,"'Wazir' is a tale of two unlikely friends, a wheelchair-bound chess grandmaster and a brave ATS officer. Brought together by grief and a strange twist of fate, the two men decide to help each other win the biggest games of their lives. But there's a mysterious, dangerous opponent lurking in the shadows, who is all set to checkmate them.",2016,PG-13,103,7.2,18681
1898: Our Last Men in the Philippines,MOVIE,"The Philippines, 1898. Fifty Spanish soldiers arrive in the small village of Baler to rebuild an outpost. Although the war against the Filipinos and their American allies is almost lost, as is the Spanish Empire, the garrison will endure a cruel siege for eleven months. They will be the last to surrender.",2016,PG-13,130,6.5,3281
Miss in Kiss,SHOW,"After an earthquake destroyed Xiang Qin's house, she and her father moved in with the family of her father's college buddy, Uncle Ah Li. To her surprise, the kind and amicable aunt and uncle are the parents of her cold and distant schoolmate Jiang Zhi Shu, a genius with an IQ of 200 whom not too long ago rejected her endless crush on him. Will the close proximity give her a second chance to win Zhi Shu's heart? Or, will her love for him end under his cold words? What happens when there is competition for his heart?",2016,TV-14,36,7.7,98
Gabbar Is Back,MOVIE,A vigilante network taking out corrupt officials draws the notice of the authorities.,2015,PG-13,130,7.2,24676
Jonah,MOVIE,"During Carnival in SÃ£o Paulo, a young man and young woman who knew each other as children meet again after many years and the social barriers that have kept them apart. Bad decisions lead the boy to hide with the girl inside a whale float.",2016,PG,97,5.4,230
Coach Snoop,SHOW,"See a different side of Snoop Dogg in this unique documentary, which details the famous rapper's efforts to mentor young athletes and create opportunities for them to compete at the highest level of youth football. We'll meet the kids and coaches that form Snoop's squad -- and witness the important life lessons they learn with every game.",2016,TV-MA,29,6.8,583
Motu Patlu: King Of Kings,MOVIE,"Motu and Patlu are your home-grown Laurel and Hardy in an animation avatar. They befriend a circus lion, Guddu and attempt to save the jungle from a greedy poacher.",2016,G,109,6.8,157
Word Party,SHOW,"Meet Bailey, Franny, Kip and Lulu. They're adorable baby animals, and they want you to join the party and help them learn!",2016,TV-Y,20,5.7,349
Puerto Ricans in Paris,MOVIE,"NYPD detectives Luis and Eddie visit Paris to help gorgeous French designer Colette catch the black market thief who's ripped off her new handbag design. While Luis' girlfriend Vanessa and Eddie's wife Gloria remain in New York, the hopelessly unhip odd couple stumble through a glamorous high-fashion world brimming with charming cafes, wild nightclubs and corporate treachery.",2015,R,82,5.3,1824
Trailer Park Boys: Out of the Park: Europe,SHOW,"A lot of liquor an whores, mustard and bologna, maybe some cigarettes and dope, but mostly just liquor and whores, cigarettes and balogna, as well as mustard and dope.",2016,TV-MA,30,7.0,2285
ABCD 2,MOVIE,"Childhood friends Suresh and Vinnie want to become successful dancers. To fulfill their dreams, they form a dance group with their friends and compete in a hip-hop contest in Las Vegas.",2015,PG,154,5.4,6258
My Sunshine,SHOW,"While studying at university, Zhao Mosheng fell in love at first sight with law student He Yichen. Through various incidents where Mosheng ""stalked"" Yichen on campus, Mosheng's cheerful personality charmed Yichen, and they gradually became college sweethearts. When Yichen's foster sister Yimei challenged Mosheng for Yichen's attention, Mosheng turned directly to Yichen for clarification, but did not expect to receive a cold response from him. Mistaking that Yichen and Yimei are a couple, Mosheng followed her father's arrangements and moved to the United States to continue her studies. Seven years later, Mosheng - who is now a professional photographer - returns to China, and coincidentally bumps into the unforgettable Yichen.",2015,TV-PG,45,6.6,185
A Touch of Green,SHOW,"The drama tells the story of air force pilots and their families from 1945 to 1971. As the husbands embarked on patriotic missions to fight against the enemies, their families must content with horror of wars, mass emigration to distant land, and death of love ones. Their shared experience brought the military families together to support one another.",2015,TV-MA,46,8.4,314
Te3n,MOVIE,"A grandfather, police officer and a priest join hands to investigate and find a missing child.",2016,PG-13,136,7.3,12816
U Turn,MOVIE,A journalist who intents to write an article on traffic rule breakers gets dragged into a whirlpool of murder cases and deception.,2016,R,120,7.5,3310
28 Faces of the Moon,SHOW,The drama tells the story of a man whose life takes a downward spiral after his fiance dies just days before their upcoming marriage.,2016,TV-14,18,6.4,25
Poshter Girl,MOVIE,"Poshter Girl takes you on a mad roller coaster ride of a quaint, little village in Maharashtra - Tekawde, which is ill-famous for female infanticide and as a result there are no girls left within the village. When the question of boys' marriage is on heat, a beautiful and Intelligent girl enters the scenario and changes everything. This is the story of the girl Rupali and her chosen 5 candidates who would do anything to win her heart.",2016,PG-13,140,6.6,328
The Creative Indians,SHOW,"The Creative Indians is a docu-series showcasing, de-mystifying and de-constructing the lives, journeys and processes of the most impactful creative professionals and projects of India across industries like Cinema, Art, Design, Music, Fashion, Dance, Photography, Advertising and more.",2016,TV-MA,28,8.3,45
Shaandaar,MOVIE,"Jagjinder Joginder, a wedding planner, brings together the dysfunctional family of businessman Bipin Arora while making arrangements for Bipin's daughter's destination wedding in London.",2015,PG-13,144,3.6,5612
Bottersnikes & Gumbles,SHOW,"In a far away forgotten valley heaped with long-abandoned junk, a timeless battle rages between good and evilâ€¦ and also between squishy and scaly, happy and grumpy, clever and wilyâ€¦ handsome and plain old ugly. This is the land of Bottersnikes and Gumbles.",2016,TV-Y7,13,5.1,47
Hawaizaada,MOVIE,"In 1895, Shivkar Bapuji Talpade constructs and flies India's first unmanned plane, despite having the odds stacked against him.",2015,PG,157,5.6,1910
Fangbone!,SHOW,"A 9-year-old barbarian warrior from another world enters third grade and learns about the modern world, while trying to save his native land from a vile villain.",2016,TV-PG,22,6.2,312
Very Big Shot,MOVIE,A dark comedy about brothers running a drug-dealing business out of their takeout pizzeria.,2015,R,107,7.1,1395
X: Past Is Present,MOVIE,"When a middle-aged filmmaker meets an alluring stranger at a party, he's haunted by troubling memories of his past relationships.",2015,PG-13,105,5.1,699
Hannibal Buress: Comedy Camisado,MOVIE,"He's a kamikaze gambler. A one-arm cuddler. And if his fly is down, so be it. A night of sly riffs and slow burns.",2016,R,67,6.6,1517
Bangistan,MOVIE,"Two blundering terrorists with lofty ideologies, but ordinary talent, on a mission to change the world.",2015,PG-13,135,4.5,1273
Kiss of Life,MOVIE,"Everything he's terrified of, she loves. Could this be love?",2015,G,102,5.9,1248
Chasing Cameron,SHOW,"The series stars Dallas and his famous friends embarking on a new tour of Magcon around Europe. Aaron Carpenter, Taylor Caniff, Blake Gray, Trey Schafer and Willie Jones are also starring in the series.",2016,TV-PG,28,3.8,501
S Storm,MOVIE,A suspect is killed while the ICAC team is investigating illegal soccer gambling in Hong Kong.,2016,PG-13,90,5.2,697
Husband Factor,MOVIE,A traditional Turkish woman tries to find love and is forced by her family members to get married.,2015,PG-13,108,6.2,5031
Spark,SHOW,"'Spark' is a mini music drama like a night concert in the summertime, centering on a man who leaks a great deal of electricity after a sudden accident and a woman he can't get away from no matter how hard he tries",2016,TV-14,13,7.0,57
Under the Black Moonlight,SHOW,"Kang Woo is a talented college student who is studying the fine arts. Strange things begin to happen when his girlfriend, Wol Ha, and a few friends come to visit him at his family's mountain cabin.",2016,TV-14,10,5.0,56
Husband Factor: Resurrection,MOVIE,A girl tries to manage the demands of her traditional family's wishes and her own as she embarks on a journey to marry the love of her life,2016,PG,108,5.4,297
Close Your Eyes Before It's Dark,SHOW,"While vacationing at a mountain cabin, a group of longtime friends uncovers an old scandal that could have deadly consequences.",2016,TV-14,84,7.0,218
Best Lover,SHOW,"Best Couple's background is set in modern day Korean entertainment industry. The story is about two top stars entering into a fake marriage with their own secret agendas, and through their efforts to defend their fake marriage in public, they learn about about each other's pains and weaknesses and eventually end up together. The male lead comes from a poor background and through hard work becomes a top star. He finds himself emotionally involved with his first love, fake wife and admirer. The female lead comes from a chaebol family and is an arrogant top star. She is neglected by her parents and due to a family feud/conspiracy, she must act strong in order to survive even though she is weak at times. Through a fake marriage, these two people find true love and their true selves.",2016,TV-14,45,6.8,74
Luna Petunia,SHOW,Luna Petunia follows the adventures of a girl who lives in our world and plays in a dreamland where she learns how to make the impossible possible.,2016,TV-Y,24,6.2,58
Wedding Association 2: Circumcision,MOVIE,Ismail and his old screwball crew land themselves in hot water when his grandson's circumcision evolves into a buzz-making citywide event.,2015,PG-13,107,6.4,10261
The Miracle,SHOW,"How could twin sisters be such polar opposites? Kwon Shi Ah is the beautiful sister, gorgeous in every way and a member of the popular girl group known as Miracle Girls. Since she was in preschool, Shia has worked as a model and then a teen actress before becoming an idol. Her fraternal twin sister, Shi Yeon, is almost double the body size of Shi Ah and has always been ridiculed and bullied in school for her large frame. Because of this, Shi Yeon has become a recluse, who prefers staying home and producing an Internet broadcast within the safety of her room. The only time Shi Yeon ventures out is to visit a mysterious tarot card reader who gives Shi Yeon a magical tarot card every day. But the twin sistersâ€™ lives are turned upside down when they wake up one day and realize that their souls have switched bodies! What will an idol musician and Shi Yeonâ€™s high school crush think of the women they thought they knew?",2016,TV-14,18,6.3,210
The Dream Job,SHOW,"Many people harbour the hope of a 'dream job', one that pays well, offer great benefits, and with a boss who treats them like his own.",2016,TV-14,44,6.1,14
Vanished 46,SHOW,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",2016,TV-MA,61,8.4,4269
Niyazi GÃ¼l DÃ¶rtnala,MOVIE,"Niyazi, a veterinarian, is on the lookout for a special elixir for animals. What he doesn't yet know is a mobster and his estranged love is also on the lookout for that elixir.",2015,PG,106,4.5,3170
My Mother's Wound,MOVIE,"Upon turning eight-teen, Salih leaves the orphanage to find his lost family and begins working in a Serbian farm. Suddenly, at the most unexpected moment he has found a home. Will he ever be able to let go of the ghosts of his past and be happy in this new life? As tension escalates disquieting secrets surface. A gripping tale of family, love and identity, My Mother's Wound follows Salih as he searches for a trail of hope amongst war-torn lives.",2016,PG-13,120,7.3,3620
The CEO,MOVIE,Five top level staff of a company are selected for a retreat where the new CEO of a global company will be chosen. What starts off as cordial soon goes sour as they attempt to outdo one another to be named The CEO.,2016,PG-13,105,5.7,121
Magic Cellphone,SHOW,The drama revolves around the romance between an ordinary guy and a girl group member.,2016,TV-PG,13,4.1,21
Diamond Lover,SHOW,"Xiao Liang is the CEO of the world's biggest Diamond company. He's reserved, strict and counts every penny while doing business. He also chooses to close himself off from people, insisting relationships are of no worth in his life. Everything turns upside down when he meets Mi Dou, a woman who changes his views in life and teaches him what it means to be alive and happy.",2015,TV-PG,45,6.4,138
Dedemin FiÅŸi,MOVIE,Estranged family members re-unite to determine whether to pull the family patriarch out of life support or not.,2016,PG,100,5.5,3524
Sons of the Caliphate,SHOW,"This is a drama series about the lives of three rich, entitled, passionate and ambitious young men: Kalifah, Nuhu and Diko. Elections are fast approaching and there's a tussle for the governorship seat of the Northern Caliphate State of Kowa. Soon personal conflicts intertwine between their families in a race to crown the next Governor.",2015,TV-14,39,7.4,32
Souk Bazaar,MOVIE,"Kahraman is a naive and right-minded guy. In a lovely Anatolian town, he earns a living as an attendant in a Turkish bath inherited from his great grandfathers. One day, a wealthy constructor named Tuncay wants to demolish the bath and the marketplace it is located in, and build a mall in their place. Barber Cemil, Kahraman's enemy, convinces the craftsmen in the marketplace and collaborates with Tuncay to start the demolishment immediately. Kahraman does not want the marketplace he was born into to be demolished and he does not believe in the empty promises of Tuncay.",2015,PG,97,5.2,1891
Dharam Sankat Mein,MOVIE,The film revolves around a Hindu man (Paresh Rawal) who goes through an identity crisis when he discovers he was adopted as a son in a Hindu family but was born in a Muslim family. The journey starts with finding his real father.,2015,PG-13,129,6.3,2237
Kara Bela,MOVIE,"After the death of his wife and father, Kudret, who has always lived by the book, decides to go on a road trip to save a girl.",2015,PG-13,100,6.8,8920
Fartsa,SHOW,"An epic saga which takes place over a long time span from 1961 to 1991. From the midpoint of the story we view the friendship of four boys. In season main heroes are in their 20's, they are childhood friends, and for the sake of their friendship they are ready to sacrifice anything. Everyone has their own dreams, but their circumstances will take them on a difficult path and they will be forced into all kinds of underground economic dealings in the early 60s. And, worst of all - they are successful in this business. And the more successful they are, the further they get from their real dreams.",2015,TV-14,60,6.7,195
Singles Villa,SHOW,"Love thy neighbor? Think again! Singles Villa may be the hottest apartment complex around, but all its tenants face eviction if they fall in love with one another. Residents Qiao Sheng Yu and Jiang Ke Xin agree to these terms â€” up until they fall in love, that is. On top of making sure that whatever happens behind closed doors stays behind closed doors, things get even trickier for these loving neighbors when Ke Xin's former sweetheart Chi Bo Yuan turns up on her doorstep.",2015,TV-14,45,7.7,28
Sommore: The Reign Continues,MOVIE,"Self-proclaimed ""Queen of Comedy"" Sommore storms the stage to deliver a riotous stand-up performance in Charlotte, North Carolina.",2015,R,93,6.9,76
Chris D'Elia: Incorrigible,MOVIE,"Comedian and actor Chris Dâ€™Elia, known for his dynamic physical comedy, explains why the NFL would be way more entertaining if it were real lions, bears and Vikings battling each other, that babies are the worst prize ever, and that you should never ask a Cuban directions unless youâ€™re ready for the best time of your life.",2015,R,83,6.4,1535
Tariqi: My Way,SHOW,"In the 1970s, ""Dalila"" is suffering from oppression and injustice by her aristocratic mother because ""Dalila"" insists to be a famous singer. Meanwhile, our hero experiences two love stories that will her who's in her side in the path of glory and fame.",2015,TV-14,42,7.2,143
'76,MOVIE,"Nollywood superstars Ramsey Nouah, Rita Dominic, and Chidi Mokeme headline this gripping drama set against the backdrop of the attempted 1976 military coup against the government of General Murtala Mohammed.",2016,PG-13,118,5.6,220
The Governor,SHOW,"The Governor"" is the riveting tale of Angela Ochello, the Deputy Governor of Savannah State, who with no governorship ambitions finds herself suddenly entangled in a web of political intrigue after the untimely death of the incumbent Governor. As audiences embark on this journey with Angela, they get to see how with the help of her trusted Chief of Staff, she learns how to maneuver through the rough and shark-infested waters of politics whilst balancing the demands of her matrimonial home.",2016,TV-14,45,7.4,100
Back to 1989,SHOW,"A young successful young man has always felt something missing in his life because he never knew his father. At 26, Che Chen is already a successful assistant manager for an investment trust. But he was raised by his single mother Chen Mu and never knew the identity of his father, and that void has been nagging at him. But a freak accident sends Che back 27 years into the past, to the year before he was born. When he meets 22-year-old Zhen Zhen Ye, Che realizes that this naÃ¯ve and trusting young woman is his mother's best friend! When Che realizes that anything he does in the year 1989 could alter his motherâ€™s future, will he do anything to alter the course of his own life?",2016,TV-14,44,8.0,106
Snervous Tyler Oakley,MOVIE,"After eight years of sharing snippets of his life online, see the intimate truth of Tyler Oakley's relationship with family, followers and fame on his sold out international tour.",2015,PG-13,82,5.4,473
A Chaster Marriage,MOVIE,"In love with Duygu, as well as with his favorite football team, Zafer is one of those grown-up men who never really grow up. One day, he finds himself forced into a marriage by his father, and despite his many funny attempts to get out of the marriage, Zaferâ€™s plans yield no result. Can Zafer understand the meaning of true love before the final whistle blows?",2016,PG-13,93,5.4,874
